Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/22/14,walking,walking,2014-09-22T17:29:27-07:00,2014-09-22T17:29:45-07:00,18,0.011,37,0
9/22/14,walking,walking,2014-09-22T18:00:04-07:00,2014-09-22T18:01:04-07:00,60,0.031,101,0
9/22/14,transport,transport,2014-09-22T18:01:26-07:00,2014-09-22T18:20:11-07:00,1125,2.648,0,0
9/22/14,walking,walking,2014-09-22T18:20:11-07:00,2014-09-22T18:26:28-07:00,377,0.183,588,0
9/22/14,walking,walking,2014-09-22T18:30:28-07:00,2014-09-22T18:32:28-07:00,120,0.055,179,0
9/22/14,walking,walking,2014-09-22T19:40:59-07:00,2014-09-22T19:41:59-07:00,60,0.028,90,0
9/22/14,walking,walking,2014-09-22T21:23:02-07:00,2014-09-22T21:29:27-07:00,385,0.255,546,0
9/22/14,walking,walking,2014-09-22T21:48:16-07:00,2014-09-22T21:50:16-07:00,120,0.050,161,0
9/22/14,walking,walking,2014-09-22T23:14:29-07:00,2014-09-22T23:15:19-07:00,50,0.024,76,0
9/23/14,walking,walking,2014-09-23T06:30:38-07:00,2014-09-23T06:31:08-07:00,30,0.014,44,0
9/23/14,walking,walking,2014-09-23T07:43:55-07:00,2014-09-23T07:44:25-07:00,30,0.012,40,0
9/23/14,transport,transport,2014-09-23T08:25:21-07:00,2014-09-23T08:32:32-07:00,431,1.703,0,0
9/23/14,walking,walking,2014-09-23T08:32:31-07:00,2014-09-23T08:35:30-07:00,179,0.096,310,0
9/23/14,walking,walking,2014-09-23T09:24:15-07:00,2014-09-23T09:24:45-07:00,30,0.019,60,0
9/23/14,walking,walking,2014-09-23T10:02:16-07:00,2014-09-23T10:05:47-07:00,211,0.094,303,0
9/23/14,transport,transport,2014-09-23T10:05:47-07:00,2014-09-23T10:11:08-07:00,321,1.763,0,0
9/23/14,walking,walking,2014-09-23T10:11:47-07:00,2014-09-23T10:15:24-07:00,217,0.126,269,0
9/23/14,walking,walking,2014-09-23T10:26:40-07:00,2014-09-23T10:41:26-07:00,886,0.659,1123,0
9/23/14,walking,walking,2014-09-23T13:23:11-07:00,2014-09-23T13:24:00-07:00,49,0.025,83,0
9/23/14,walking,walking,2014-09-23T13:25:08-07:00,2014-09-23T13:39:47-07:00,879,0.807,1380,0
9/23/14,walking,walking,2014-09-23T14:29:10-07:00,2014-09-23T14:48:58-07:00,1188,0.726,1244,0
9/23/14,walking,walking,2014-09-23T14:52:15-07:00,2014-09-23T14:52:45-07:00,30,0.010,32,0
9/23/14,walking,walking,2014-09-23T14:56:13-07:00,2014-09-23T15:03:00-07:00,407,0.280,560,0
9/23/14,walking,walking,2014-09-23T15:03:25-07:00,2014-09-23T15:04:20-07:00,55,0.026,84,0
9/23/14,walking,walking,2014-09-23T16:47:27-07:00,2014-09-23T17:06:38-07:00,1151,0.579,1186,0
9/23/14,walking,walking,2014-09-23T17:34:27-07:00,2014-09-23T17:34:32-07:00,5,0.002,7,0
